"DISTRITO","UNIDADE","TRIMESTRE","PROCEDIMENTO","VALOR"
"Continente","CS JARDIM ATLÂNTICO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",27
"Centro","CS JOÃO PAULO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Norte","CS JURERE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Continente","CS MONTE CRISTO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",19
"Centro","CS MONTE SERRAT","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",14
"Sul","CS MORRO DAS PEDRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Continente","CS NOVO CONTINENTE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Centro","CS PANTANAL","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",21
"Sul","CS PANTANO DO SUL","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Norte","CS PONTA DAS CANAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Centro","CS PRAINHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Norte","CS RATONES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",30
"Sul","CS RIBEIRÃO DA ILHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Sul","CS RIO TAVARES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Norte","CS RIO VERMELHO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Centro","CS SACO DOS LIMÕES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Norte","CS SACO GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",32
"Norte","CS SANTINHO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Norte","CS SANTO ANTONIO LISBOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS SAPE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",17
"Sul","CS TAPERA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Centro","CS TRINDADE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",24
"Norte","CS VARGEM GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Norte","CS VARGEM PEQUENA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Norte","CS CANASVIEIRAS","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS CAPOEIRAS","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS COQUEIROS","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS MONTE CRISTO","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS TAPERA","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS TRINDADE","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS VARGEM GRANDE","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS ABRAÃO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS AGRONÔMICA","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ALTO RIBEIRÃO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Norte","CS BARRA DA LAGOA","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS CACHOEIRA BOM JESUS","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS CAMPECHE","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS CANASVIEIRAS","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",8
"Sul","CS CARIANOS","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS CENTRO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Continente","CS COQUEIROS","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS ESTREITO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS INGLESES","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS ITACORUBI","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",19
"Continente","CS JARDIM ATLÂNTICO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS JOÃO PAULO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS MONTE CRISTO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",8
"Continente","CS NOVO CONTINENTE","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Centro","CS PANTANAL","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS PANTANO DO SUL","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS PONTA DAS CANAS","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Norte","CS RIO VERMELHO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS SACO DOS LIMÕES","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS SACO GRANDE","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS SANTINHO","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Continente","CS SAPE","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Sul","CS ALTO RIBEIRÃO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ARMAÇÃO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS BARRA DA LAGOA","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS CACHOEIRA BOM JESUS","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CAMPECHE","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS CANASVIEIRAS","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Centro","CS CENTRO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS COQUEIROS","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Continente","CS ESTREITO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Centro","CS ITACORUBI","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",8
"Continente","CS JARDIM ATLÂNTICO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS JOÃO PAULO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS JURERE","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Continente","CS MONTE CRISTO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Continente","CS NOVO CONTINENTE","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS PANTANAL","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS PANTANO DO SUL","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Norte","CS PONTA DAS CANAS","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS RIBEIRÃO DA ILHA","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS RIO VERMELHO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS SACO GRANDE","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS SANTINHO","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Centro","CS TRINDADE","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS VARGEM PEQUENA","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS ABRAÃO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS AGRONÔMICA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ALTO RIBEIRÃO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Norte","CS CACHOEIRA BOM JESUS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS CAMPECHE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Sul","CS CANTO DA LAGOA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS CAPOEIRAS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS CARIANOS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS CENTRO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS COQUEIROS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Continente","CS ESTREITO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Norte","CS INGLESES","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Centro","CS ITACORUBI","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS JARDIM ATLÂNTICO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS JURERE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Continente","CS MONTE CRISTO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Sul","CS MORRO DAS PEDRAS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS NOVO CONTINENTE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Centro","CS PANTANAL","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS PANTANO DO SUL","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Norte","CS PONTA DAS CANAS","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS RATONES","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS RIBEIRÃO DA ILHA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",23
"Sul","CS RIO TAVARES","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS RIO VERMELHO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS SACO DOS LIMÕES","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS SACO GRANDE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Norte","CS SANTINHO","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS SANTO ANTONIO LISBOA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS TAPERA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS TRINDADE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS VARGEM GRANDE","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS VILA APARECIDA","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS AGRONÔMICA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ALTO RIBEIRÃO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS ARMAÇÃO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Continente","CS BALNEÁRIO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS CACHOEIRA BOM JESUS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",28
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CAMPECHE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Norte","CS CANASVIEIRAS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS CAPOEIRAS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CARIANOS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Centro","CS CENTRO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS COLONINHA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Continente","CS COQUEIROS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Centro","CS CÓRREGO GRANDE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Continente","CS ESTREITO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Norte","CS INGLESES","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",14
"Centro","CS ITACORUBI","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",17
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Continente","CS MONTE CRISTO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",11
"Sul","CS MORRO DAS PEDRAS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS NOVO CONTINENTE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS PANTANAL","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Sul","CS PANTANO DO SUL","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",19
"Norte","CS PONTA DAS CANAS","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Norte","CS RATONES","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Sul","CS RIBEIRÃO DA ILHA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Sul","CS RIO TAVARES","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",14
"Norte","CS RIO VERMELHO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","CS SACO DOS LIMÕES","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS SACO GRANDE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS SANTINHO","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Norte","CS SANTO ANTONIO LISBOA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS SAPE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS TAPERA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",9
"Centro","CS TRINDADE","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Norte","CS VARGEM PEQUENA","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ARMAÇÃO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS BARRA DA LAGOA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Norte","CS CACHOEIRA BOM JESUS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CAMPECHE","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Norte","CS CANASVIEIRAS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Sul","CS CANTO DA LAGOA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS CAPOEIRAS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CARIANOS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Centro","CS CENTRO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS COLONINHA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Continente","CS COQUEIROS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Continente","CS ESTREITO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Norte","CS INGLESES","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",20
"Centro","CS ITACORUBI","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",27
"Continente","CS JARDIM ATLÂNTICO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS JOÃO PAULO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",12
"Continente","CS MONTE CRISTO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Sul","CS MORRO DAS PEDRAS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS NOVO CONTINENTE","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS PANTANAL","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","CS PANTANO DO SUL","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",8
"Norte","CS PONTA DAS CANAS","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Centro","CS PRAINHA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS RIBEIRÃO DA ILHA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",13
"Norte","CS RIO VERMELHO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS SACO DOS LIMÕES","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS SACO GRANDE","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS SANTINHO","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Norte","CS SANTO ANTONIO LISBOA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS TAPERA","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",16
"Centro","CS TRINDADE","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS VARGEM GRANDE","2016 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Continente","CS ABRAÃO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Centro","CS AGRONÔMICA","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Sul","CS ALTO RIBEIRÃO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS ARMAÇÃO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS CACHOEIRA BOM JESUS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",35
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Sul","CS CAMPECHE","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Norte","CS CANASVIEIRAS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS CANTO DA LAGOA","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",2
"Continente","CS CAPOEIRAS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS CARIANOS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",21
"Centro","CS CENTRO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",6
"Continente","CS COLONINHA","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","CS COQUEIROS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",4
"Centro","CS CÓRREGO GRANDE","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
